Crop Type,Water Availability,Rainfall (mm),Soil Type,Soil Moisture (%),Temperature ,Evaporation Rate (mm/day),Irrigation Type
Millets,Low,129.2989292,Loamy,30.54444186,16.06174773,8.885342574,Sprinkler Irrigation
Maize,High,267.2251564,Sandy,20.1342868,32.11565486,7.559347038,Surface Irrigation
Millets,High,143.918063,Sandy,49.50638369,37.56763776,2.08440898,Drip Irrigation
Millets,Low,124.2173186,Red,21.65982964,35.93157518,5.152721222,Subsurface Irrigation
Ground Nuts,Low,212.2686647,Loamy,40.82970124,18.18423684,8.807615195,Sprinkler Irrigation
Cotton,High,132.095307,Sandy,27.09982601,18.15677843,4.766870864,Drip Irrigation
Maize,Medium,207.5521871,Clay,18.2486962,35.33586206,2.281721388,Furrow Irrigation
Millets,Low,202.4579514,Red,41.98875056,38.10635687,7.969437108,Sprinkler Irrigation
Cotton,High,190.8597318,Saline,23.34427156,26.51674575,8.416306162,Subsurface Irrigation
Cotton,Medium,145.1049261,Black,44.6077339,27.47427792,3.28474956,Sprinkler Irrigation
Maize,Low,187.1249304,Red,46.6102874,22.95655103,6.298723975,Sprinkler Irrigation
Ground Nuts,Medium,199.1213687,Black,44.39295342,37.35662796,3.535643512,Manual Irrigation
Paddy,High,186.4217221,Loamy,11.40031659,31.12257263,7.753875352,Basin Irrigation
Pulses,Low,161.1048632,Black,41.4949338,22.20628943,4.172403641,Furrow Irrigation
Wheat,Medium,53.66676426,Loamy,26.45357866,22.46957178,4.529720981,Surface Irrigation
Pulses,Low,196.7654269,Clay,44.94891681,37.28000183,8.759766829,Sprinkler Irrigation
Oil Seeds,Medium,92.11109629,Black,35.51817051,15.3408506,5.810578818,Surface Irrigation
Wheat,High,210.6439922,Red,43.34572537,23.06816432,7.35803561,Drip Irrigation
Oil Seeds,High,239.836082,Loamy,29.97727079,28.85891703,5.218984406,Manual Irrigation
Millets,Low,175.1113273,Red,31.40102018,18.70543655,4.384054858,Sprinkler Irrigation
Sugarcane,Medium,185.5909162,Sandy,15.77550529,17.30246885,7.003824483,Basin Irrigation
Maize,Low,287.8696399,Loamy,41.35949435,35.38190828,3.238860593,Surface Irrigation
Wheat,Low,261.7918403,Black,26.77558447,37.36010972,4.983998685,Surface Irrigation
Wheat,Medium,278.559129,Loamy,30.00320473,35.59016052,3.672296299,Surface Irrigation
Millets,Medium,253.4415721,Red,41.40390856,37.46969724,7.566359736,Surface Irrigation
Paddy,Medium,77.22958546,Clay,33.953816,28.82779928,9.553670707,Basin Irrigation
Cotton,High,87.24796399,Loamy,18.0439491,35.30645302,9.964087744,Furrow Irrigation
Millets,Low,181.6559493,Black,33.60930637,24.60106596,5.602214484,Furrow Irrigation
Barley,Low,111.5174147,Sandy,26.30531432,31.65669654,4.020243117,Basin Irrigation
Ground Nuts,High,169.1738688,Saline,28.78102168,39.72088828,5.542634963,Border Irrigation
Cotton,Medium,148.591331,Clay,11.13245098,20.6431931,8.77815528,Furrow Irrigation
Maize,High,187.3535596,Sandy,18.40117398,24.74749366,3.648045428,Drip Irrigation
Cotton,High,236.718929,Loamy,21.24152326,27.00118443,9.616765213,Manual Irrigation
Paddy,High,228.8727268,Red,38.51840031,18.45038718,4.73492615,Drip Irrigation
Cotton,Low,180.3085331,Red,10.45969893,17.02596526,9.886429276,Sprinkler Irrigation
Maize,High,255.5983547,Black,26.35109045,35.74307166,8.7088711,Surface Irrigation
Paddy,Low,157.7155229,Red,46.96107482,39.41985932,8.468564273,Sprinkler Irrigation
Pulses,Low,274.1785725,Clay,14.47522466,25.1181266,4.54323739,Surface Irrigation
Wheat,Low,67.82006751,Red,30.65697553,17.1912459,2.070217696,Border Irrigation
Wheat,Medium,288.6650075,Black,41.4608953,16.64529402,5.057063271,Surface Irrigation
Ground Nuts,Low,213.6732704,Saline,47.7012523,37.28295516,4.414474957,Manual Irrigation
Oil Seeds,Low,145.0186272,Loamy,39.87106558,26.59535624,2.299175923,Surface Irrigation
Pulses,Medium,99.28853164,Loamy,38.82262195,23.00068291,6.042922052,Sprinkler Irrigation
Pulses,Low,169.7958074,Red,43.05952361,26.91153178,5.22425049,Manual Irrigation
Cotton,High,98.6395808,Sandy,27.84804884,22.95760237,7.076451742,Manual Irrigation
Wheat,High,91.58290194,Loamy,42.2337813,27.22589438,6.969490578,Drip Irrigation
Maize,Low,204.3379394,Saline,10.31857619,36.48890992,2.965973087,Basin Irrigation
Tobacco,Medium,180.7711811,Red,46.98244222,29.80753428,9.815724369,Subsurface Irrigation
Tobacco,High,217.5240087,Black,27.73226038,32.36634432,3.495451436,Surface Irrigation
Paddy,Medium,282.4014694,Saline,32.13520751,24.11676691,5.562192198,Surface Irrigation
Wheat,Medium,183.0650533,Red,20.19528996,33.46264696,5.904940347,Drip Irrigation
Wheat,High,195.2330133,Saline,39.70123331,31.66542712,8.504502378,Drip Irrigation
Ground Nuts,Medium,72.40658479,Loamy,13.06543226,17.98904994,2.793836769,Furrow Irrigation
Tobacco,High,229.4089465,Black,44.9054321,29.31607133,5.429154234,Drip Irrigation
Wheat,Medium,149.9763017,Red,43.12467316,21.41858741,7.028017362,Sprinkler Irrigation
Ground Nuts,High,294.1813097,Clay,18.64240465,35.10239174,3.721244973,Surface Irrigation
Cotton,Low,255.7935039,Black,42.37297593,25.64844271,7.01974319,Surface Irrigation
Barley,High,180.6202601,Clay,41.45430932,39.86710413,9.3893187,Drip Irrigation
Sugarcane,High,80.80566354,Saline,35.28866391,17.31251095,9.980145049,Drip Irrigation
Pulses,High,264.8539483,Sandy,24.94080708,34.50869657,2.259608614,Surface Irrigation
Oil Seeds,High,249.9452739,Black,20.85995017,31.84254334,3.884705826,Surface Irrigation
Paddy,Medium,96.14628238,Saline,19.27134361,34.18747076,4.482456926,Basin Irrigation
Barley,Low,123.8195723,Clay,22.74435851,22.68824489,5.193008804,Subsurface Irrigation
Tobacco,High,248.3518145,Loamy,46.14233774,27.30136223,3.938057261,Drip Irrigation
Ground Nuts,Medium,96.30711164,Loamy,13.10563104,34.91271299,3.627903956,Manual Irrigation
Pulses,Low,279.4381223,Sandy,43.15485105,20.81353329,9.636430739,Surface Irrigation
Wheat,Low,156.1318563,Black,23.955603,20.65082992,9.348172822,Sprinkler Irrigation
Oil Seeds,Low,71.75974065,Black,30.86397584,28.77627383,2.375940008,Drip Irrigation
Wheat,Low,253.9371609,Black,41.77942535,28.08908949,4.710504173,Surface Irrigation
Maize,High,143.3774208,Saline,45.37506188,22.05656176,5.241188429,Drip Irrigation
Maize,High,181.6247985,Sandy,23.7912568,22.45189126,3.912116277,Manual Irrigation
Oil Seeds,Medium,78.0760861,Black,28.47373925,21.94612908,7.030983176,Drip Irrigation
Ground Nuts,Medium,50.64600371,Saline,26.58064259,34.28780155,7.123045973,Basin Irrigation
Oil Seeds,Medium,209.4963014,Loamy,10.53004134,31.29752164,8.804033827,Manual Irrigation
Tobacco,Low,178.7937926,Clay,21.83771555,35.81042959,7.926954147,Sprinkler Irrigation
Oil Seeds,Low,198.3846423,Saline,28.36756935,39.38682571,6.340586616,Surface Irrigation
Cotton,High,248.4359626,Loamy,26.44374436,26.85410741,7.22869416,Subsurface Irrigation
Wheat,Low,211.6514784,Loamy,38.8771691,16.66734704,4.191910252,Drip Irrigation
Barley,Low,93.69336071,Clay,25.39214469,16.20230776,6.74444952,Sprinkler Irrigation
Millets,Low,140.1931298,Loamy,29.57505796,22.39162598,5.913818038,Drip Irrigation
Ground Nuts,Medium,276.4727762,Sandy,27.18434369,38.31361473,3.066755739,Surface Irrigation
Oil Seeds,Medium,242.4861751,Clay,39.62504596,28.08032637,3.940354213,Subsurface Irrigation
Paddy,High,189.1592645,Loamy,44.51889596,21.7946629,4.333547606,Drip Irrigation
Maize,Low,113.9112495,Red,31.27556316,24.97916986,9.394476536,Sprinkler Irrigation
Cotton,Low,125.5151255,Saline,41.57728777,29.96487769,3.843093115,Furrow Irrigation
Pulses,High,232.9895169,Loamy,21.87146728,31.32374145,4.313951223,Furrow Irrigation
Millets,Low,262.7935652,Sandy,31.65478441,18.84798774,4.954833041,Surface Irrigation
Ground Nuts,Low,217.8561674,Black,23.80919815,39.42579191,7.309941909,Sprinkler Irrigation
Barley,Medium,252.3824939,Loamy,26.56803702,28.61930567,2.94590714,Surface Irrigation
Millets,High,241.6640338,Black,39.29655459,18.39220794,9.6315617,Drip Irrigation
Oil Seeds,High,87.42599199,Red,45.26649929,37.34088133,8.924569761,Drip Irrigation
Tobacco,High,155.9862032,Loamy,14.85981564,16.86596078,6.617728584,Basin Irrigation
Maize,High,88.24595021,Clay,35.38557026,37.69338583,7.392302939,Drip Irrigation
Maize,Medium,108.8088962,Black,33.2857523,39.91414141,2.13328377,Surface Irrigation
Pulses,Medium,267.3149062,Red,14.73660157,32.51079498,4.711558203,Surface Irrigation
Tobacco,Low,168.2229914,Clay,18.47577322,34.26118053,8.365281845,Sprinkler Irrigation
Wheat,Low,183.8395255,Clay,22.44009979,23.43257091,2.61986379,Subsurface Irrigation
Sugarcane,Low,94.61149131,Clay,16.67724283,38.53942132,4.258510674,Furrow Irrigation
Cotton,Low,128.0679465,Clay,19.7491793,28.24284915,6.682374627,Furrow Irrigation
Maize,Medium,107.5615421,Loamy,20.70403195,33.30971116,4.051304222,Basin Irrigation
Paddy,High,101.5465411,Saline,23.42695332,38.1026929,9.471823793,Basin Irrigation
Maize,Medium,209.4901983,Loamy,39.97561811,39.3794994,3.048469046,Border Irrigation
Millets,Low,114.2209619,Loamy,32.87648815,35.83010891,8.379154863,Sprinkler Irrigation
Maize,Medium,208.0038715,Red,49.44986688,22.57543767,6.063589535,Drip Irrigation
Ground Nuts,High,64.61365353,Red,26.58943308,39.16368791,8.002646207,Border Irrigation
Maize,High,85.44359838,Saline,40.15460295,30.70298828,4.485722626,Drip Irrigation
Sugarcane,Medium,118.6350635,Red,44.85873686,38.26606191,6.115916818,Basin Irrigation
Sugarcane,Medium,199.2617292,Sandy,37.15913972,31.90262565,8.854682798,Basin Irrigation
Barley,Medium,218.9603113,Saline,26.47458962,22.68097405,5.735024793,Drip Irrigation
Wheat,Low,160.6792417,Red,40.14378523,24.2506131,4.877758895,Furrow Irrigation
Paddy,Medium,161.4477286,Saline,18.14668551,28.76179443,6.28924309,Basin Irrigation
Maize,Medium,231.1292128,Loamy,23.10208661,34.75037104,7.738902024,Basin Irrigation
Maize,Medium,53.95527294,Loamy,31.8674102,22.94956378,5.548506764,Furrow Irrigation
Cotton,High,135.2725061,Saline,33.01637549,29.49327915,9.511015801,Sprinkler Irrigation
Sugarcane,High,254.6767643,Sandy,10.88565902,23.64062484,4.359566592,Surface Irrigation
Paddy,Low,200.8048526,Sandy,47.80456755,35.39423512,5.803708849,Basin Irrigation
Pulses,Low,134.3067832,Saline,37.86509085,26.66820234,8.055421275,Sprinkler Irrigation
Barley,High,276.3811981,Red,29.82815001,16.91807067,7.512968724,Surface Irrigation
Wheat,High,243.1556819,Black,47.32508938,19.15131304,8.909128419,Drip Irrigation
Tobacco,High,116.2238618,Sandy,27.56382261,16.52761669,9.974473445,Border Irrigation
Wheat,Medium,211.3224594,Clay,49.21742281,27.48257365,5.41486663,Border Irrigation
Ground Nuts,Medium,198.937682,Loamy,30.49139029,17.65843243,2.889207038,Furrow Irrigation
Millets,High,150.2969785,Saline,14.5714308,17.85349923,2.243327046,Sprinkler Irrigation
Ground Nuts,Medium,141.7390198,Clay,40.5920389,38.5262065,7.815015249,Drip Irrigation
Maize,Medium,135.8901187,Saline,37.155909,36.8163768,8.99210937,Basin Irrigation
Barley,Low,204.2889458,Loamy,40.91946885,26.30216492,3.765700688,Sprinkler Irrigation
Millets,High,160.6024841,Loamy,48.05768115,39.64513302,3.267584298,Drip Irrigation
Paddy,High,257.9657783,Sandy,41.05957211,15.0046632,2.497640732,Drip Irrigation
Tobacco,Medium,217.400654,Sandy,34.45346409,30.34948641,8.581623374,Basin Irrigation
Sugarcane,High,67.48290143,Clay,44.29235609,30.41070443,4.491055519,Drip Irrigation
Barley,Low,210.042056,Saline,36.92985757,26.4360764,5.213575142,Border Irrigation
Barley,Low,117.7868591,Loamy,26.32476227,24.92369932,6.022001533,Basin Irrigation
Ground Nuts,Low,198.2029979,Clay,45.42479057,26.38457839,8.715625874,Sprinkler Irrigation
Maize,High,220.0329828,Black,18.87601843,25.3740109,7.206665772,Furrow Irrigation
Oil Seeds,High,107.7072973,Clay,38.585651,33.26231194,6.920517039,Drip Irrigation
Ground Nuts,High,164.2146612,Red,45.2625382,18.38388587,3.4053768,Drip Irrigation
Barley,High,97.5812157,Clay,39.25266079,19.94098051,6.105519134,Drip Irrigation
Cotton,High,63.08471895,Red,37.89101676,19.51295571,7.723048137,Drip Irrigation
Tobacco,Low,144.6191059,Red,40.10553176,21.56176463,9.786087064,Sprinkler Irrigation
Ground Nuts,Medium,140.736068,Red,28.60220993,28.13146047,3.611250474,Border Irrigation
Tobacco,Low,298.8701227,Black,44.96682729,17.78021868,2.076346825,Surface Irrigation
Cotton,High,161.5880878,Clay,18.13745901,36.70423238,2.602411469,Furrow Irrigation
Pulses,Low,133.3923874,Clay,15.09545664,22.43403828,5.006819721,Furrow Irrigation
Cotton,High,195.1187517,Black,21.4203512,19.06344969,8.564357182,Sprinkler Irrigation
Cotton,High,72.19184853,Loamy,31.26309587,31.89053274,2.057136654,Border Irrigation
Tobacco,Low,290.416434,Sandy,30.42247182,15.95215751,5.653844743,Surface Irrigation
Wheat,High,208.7400114,Clay,42.82395031,30.49921412,4.633844923,Drip Irrigation
Tobacco,Medium,238.709455,Sandy,26.18274626,32.45496077,2.419853681,Manual Irrigation
Oil Seeds,High,92.61948454,Saline,29.37377705,20.37291328,5.601890293,Surface Irrigation
Maize,Medium,152.3694633,Saline,10.53470733,16.04910184,4.037989659,Border Irrigation
Millets,Medium,155.6722783,Black,26.38956946,24.09113397,4.815078675,Furrow Irrigation
Wheat,High,255.451611,Saline,35.91096932,17.46485576,7.644922438,Drip Irrigation
Sugarcane,Low,50.30916994,Saline,10.62033323,17.91194624,6.172407871,Basin Irrigation
Millets,Medium,125.2132771,Loamy,21.23527861,21.35653079,2.997179432,Sprinkler Irrigation
Maize,Low,295.3090936,Loamy,18.31825437,22.38669812,9.691316323,Surface Irrigation
Ground Nuts,Medium,168.7216359,Loamy,11.67941716,28.24925853,7.087286126,Manual Irrigation
Oil Seeds,High,145.6315701,Saline,29.1704036,31.95979714,8.126947405,Drip Irrigation
Oil Seeds,High,79.9572505,Black,17.26893173,29.81927352,2.6337052,Furrow Irrigation
Sugarcane,Medium,293.5411572,Red,39.72326159,18.70900843,2.376467036,Surface Irrigation
Wheat,High,55.00658898,Red,43.91711535,19.30215081,2.155584403,Drip Irrigation
Pulses,Medium,234.2950563,Sandy,31.82340731,36.96923124,3.510352222,Basin Irrigation
Cotton,High,242.1499512,Red,49.2682937,28.95880788,5.315267182,Drip Irrigation
Wheat,Low,110.914179,Red,28.01914286,36.74844582,9.486609067,Sprinkler Irrigation
Pulses,High,217.8896109,Loamy,30.53472841,24.28866278,5.656477274,Manual Irrigation
Oil Seeds,Low,73.23228609,Loamy,49.56871016,30.36000019,4.322040843,Subsurface Irrigation
Tobacco,High,114.2618166,Saline,19.26193744,28.0915854,6.495482028,Manual Irrigation
Maize,Low,246.9754971,Sandy,47.70183759,22.97808725,2.895476625,Sprinkler Irrigation
Sugarcane,High,266.171548,Clay,11.7135022,26.7478843,6.876047128,Surface Irrigation
Maize,Low,202.1216032,Sandy,27.85547561,27.56227192,6.547455635,Manual Irrigation
Paddy,Medium,176.709608,Sandy,12.80014049,20.01927437,8.335944267,Basin Irrigation
Paddy,Medium,89.82600515,Black,39.16938972,22.87525931,9.893500893,Basin Irrigation
Ground Nuts,Low,65.77725827,Saline,34.33635744,34.78524376,4.006987774,Manual Irrigation
Wheat,High,79.41225712,Black,38.26537054,37.89470599,6.077251606,Drip Irrigation
Oil Seeds,Low,106.839325,Sandy,24.979216,23.99485234,9.270923251,Sprinkler Irrigation
Oil Seeds,High,135.4186255,Sandy,24.77927736,22.67430706,8.281519075,Furrow Irrigation
Cotton,Medium,145.2273814,Sandy,11.81277116,19.87992911,5.899250425,Border Irrigation
Cotton,High,136.5804421,Red,23.99779758,31.96227922,9.562973197,Basin Irrigation
Cotton,Medium,109.763833,Black,47.17153609,23.07749254,2.457893548,Surface Irrigation
Tobacco,High,177.4310617,Sandy,25.16906149,39.69373848,9.447988958,Drip Irrigation
Millets,High,256.3215271,Loamy,43.25470825,23.14212005,2.404059139,Drip Irrigation
Barley,High,119.9258846,Saline,43.69302019,24.85340117,6.378437953,Drip Irrigation
Millets,Low,285.5967548,Saline,24.92964626,30.08335491,9.123527584,Surface Irrigation
Maize,Low,268.3341654,Loamy,35.27954722,35.04210733,4.101767548,Surface Irrigation
Millets,Medium,90.44105284,Saline,13.81486409,26.73796663,5.777987992,Surface Irrigation
Tobacco,Medium,246.5689892,Red,14.14714323,25.56640084,4.594631033,Manual Irrigation
Ground Nuts,Low,193.6468456,Red,11.94630655,39.89094584,9.617151337,Sprinkler Irrigation
Maize,Medium,191.6438405,Clay,33.24060374,15.26234103,8.589164758,Subsurface Irrigation
Millets,Low,147.7606908,Clay,27.04283911,37.37663222,7.672012091,Sprinkler Irrigation
Tobacco,High,175.2882498,Clay,31.92129427,18.72852065,6.701015893,Sprinkler Irrigation
Barley,Medium,149.2946944,Saline,30.84292762,34.64813191,8.564734315,Basin Irrigation
Millets,Medium,184.9331547,Red,24.00811964,30.448289,5.138136332,Sprinkler Irrigation
Tobacco,Low,206.9875132,Red,37.09893659,23.54618214,5.580414841,Furrow Irrigation
Cotton,Medium,218.5759516,Red,40.34007524,36.84687389,7.840013769,Sprinkler Irrigation
Oil Seeds,Medium,183.1202981,Loamy,10.58513036,15.3226807,4.862038106,Drip Irrigation
Cotton,High,230.3555168,Red,18.28969199,20.6672663,2.511207536,Subsurface Irrigation
Oil Seeds,Medium,85.31951232,Loamy,38.52943472,29.17231991,2.594676871,Surface Irrigation
Sugarcane,High,102.9956227,Clay,25.46480691,23.7885565,2.92290241,Basin Irrigation
Sugarcane,Low,254.683751,Clay,36.49935788,30.25943738,8.957450587,Surface Irrigation
Sugarcane,Medium,130.6319945,Saline,23.87850639,15.60275484,5.777811406,Basin Irrigation
Barley,High,55.72345624,Clay,25.63020609,17.91147326,7.703058955,Manual Irrigation
Cotton,Low,88.44778742,Saline,16.34715495,18.17740601,5.143274685,Manual Irrigation
Oil Seeds,Medium,105.9036086,Sandy,20.32924079,19.73209115,4.069687579,Subsurface Irrigation
Tobacco,Low,289.330722,Sandy,34.2164703,26.48328602,4.77753734,Surface Irrigation
Maize,Medium,193.2603572,Black,27.32652445,33.80321749,8.353458763,Basin Irrigation
Tobacco,Low,283.1826851,Saline,40.97210732,37.63847095,7.001729,Surface Irrigation
Maize,Low,193.7908376,Black,44.1033982,35.88431326,9.50111824,Sprinkler Irrigation
Paddy,High,169.83861,Black,31.66585673,19.92219679,7.437638229,Basin Irrigation
Tobacco,Low,128.4319228,Sandy,40.33069168,26.02876381,6.561453054,Sprinkler Irrigation
Millets,Medium,201.5927361,Saline,22.27618053,19.98528994,6.881568072,Basin Irrigation
Millets,Medium,84.79950615,Sandy,26.59884862,21.61179542,9.538971516,Surface Irrigation
Wheat,High,274.5654068,Black,38.51110705,27.58867454,8.305607439,Drip Irrigation
Cotton,Medium,257.3331013,Saline,25.44847971,16.70272562,2.192329899,Surface Irrigation
Maize,Medium,129.382862,Black,33.54019741,20.45435824,6.273117569,Basin Irrigation
Maize,Medium,288.1993819,Red,17.41491116,38.38445403,7.506707292,Surface Irrigation
Ground Nuts,Low,256.3001919,Saline,33.9908526,26.65290732,7.989587828,Surface Irrigation
